state,Visit_Number,Form_Engagement_1,Form_Engagement_2,Page Views
alabama,13876,5913,5913,84783
alaska,1246,557,557,8082
aol,11,9,9,89
arizona,17882,9015,9014,127991
arkansas,5190,2539,2539,36292
california,113572,54776,54768,770715
colorado,14240,7748,7748,110779
connecticut,8329,4410,4410,61415
delaware,2950,1484,1484,20802
district of columbia,3414,1708,1708,24960
florida,66392,32767,32760,458478
georgia,42599,19845,19846,287284
hawaii,3291,1522,1522,21059
idaho,2892,1540,1540,21959
illinois,40385,19178,19173,274419
indiana,14706,7561,7559,109658
iowa,4902,2652,2651,37741
kansas,5547,2748,2749,38787
kentucky,8402,4362,4362,63258
louisiana,7785,3950,3950,55865
maine,2552,1330,1330,18553
maryland,17593,8569,8568,121510
massachusetts,17591,8962,8961,125629
michigan,22855,11500,11500,163437
minnesota,11792,6133,6134,85598
mississippi,5601,2617,2617,37894
missouri,12142,6362,6359,91092
montana,1947,1033,1033,14863
nebraska,4462,2260,2260,32507
nevada,8981,4199,4199,60375
new hampshire,3161,1763,1761,25315
new jersey,25173,12687,12687,177974
new mexico,3756,1870,1870,26633
new york,43624,21744,21745,305323
north carolina,31423,15080,15075,217288
north dakota,1356,757,757,10791
ohio,31033,15126,15125,218184
oklahoma,7398,3405,3405,48759
oregon,9836,4935,4935,69083
pennsylvania,34531,17429,17428,249835
rhode island,2292,1215,1215,17354
south carolina,12350,5937,5937,85555
south dakota,1187,689,689,9637
tennessee,17748,8448,8447,121854
texas,83358,39373,39372,562457
united states,19,18,18,278
utah,6350,3419,3419,47588
vermont,1341,666,666,9147
virginia,22283,11164,11159,160771
washington,18761,9549,9545,135283
west virginia,3678,1832,1830,25632
wisconsin,9826,5382,5382,76893
wyoming,1140,573,573,8246
